"EVENTID","USERID","SESSIONID","EVENTDATE","EVENTTIMESTAMP","EVENTNAME","EVENTLEVEL","GAUSERSTARTDATE","GAUSERGENDER","GAUSERAGEGROUP","GAUSERCOUNTRY","GAUSERACQUISITIONCHANNEL","MSSINCELASTEVENT","COLLECTINSERTEDTIMESTAMP","PLATFORM","ACTION","USERCOUNTRY","OPTION","EVENTUUID","MAINEVENTID","SDKVERSION","TIMEZONEOFFSET","OPERATINGSYSTEM","USERLOCALE","CLIENTVERSION","DEVICETYPE","USERLANGUAGE","DEVICENAME","HARDWAREVERSION","OPERATINGSYSTEMVERSION","PLAYERYPOSITION","SCENENAME","PLAYERXPOSITION","CARDNAME","TOOLNAME","KILLERID","TOOLTYPE","CARDRANK","TOTALTIME","TOOLID","KILLERNAME","TOOLKEY","TOOLCATEGORY","TOOLSPECIFICTYPE"
"3008469311422541824","bfe8009f-f7dd-4559-9a7c-19ec7a17660e","291f61cd-7caf-4708-ba2f-e9c3308e6b40","2022-06-29","2022-06-29 07:02:48.165","gameStarted","0","2022-06-29","UNKNOWN","UNKNOWN","US","None",,"2022-06-29 07:02:57.026","MAC_CLIENT",,"US",,"ee68db3e-6083-445f-9b86-818e077e939f","3008469311422541824","Unity SDK v6.0.3","-0700",,"en_ZZ","1",,,,,,,,,,,,,,,,,,,
"3008486328623964160","23436812-eaa8-4121-a578-36a221e1f687","fcb83da5-5f95-4faf-8704-4f92872b509b","2022-06-29","2022-06-29 08:10:31.024","cardChose","0","2022-06-28","UNKNOWN","UNKNOWN","US","None","4237","2022-06-29 08:10:32.95","PC_CLIENT",,"US",,"228358f4-12e9-4426-a133-c22739982910","3008486328623964160","Unity SDK v6.0.3","-0700",,,"1",,,,,,,"Level 2",,"Zero Gravity",,,,"3",,,,,,
"3008478469689475072","bfe8009f-f7dd-4559-9a7c-19ec7a17660e","8be3ed01-a805-46e6-bdcd-f75023e9b310","2022-06-29","2022-06-29 07:39:08.419","gameStarted","0","2022-06-29","UNKNOWN","UNKNOWN","US","None",,"2022-06-29 07:39:13.202","MAC_CLIENT",,"US",,"a72bf08d-b56b-4d2a-805e-364a2948beb9","3008478469689475072","Unity SDK v6.0.3","-0700",,"en_ZZ","1",,,,,,,,,,,,,,,,,,,
"3008473270770036737","bfe8009f-f7dd-4559-9a7c-19ec7a17660e","9fce3461-2dff-4afd-90fa-a170c720f200","2022-06-29","2022-06-29 07:18:41.714","usingTool","0","2022-06-29","UNKNOWN","UNKNOWN","US","None","3252","2022-06-29 07:18:41.986","MAC_CLIENT",,"US",,"655029cc-4e61-4c3b-a9c6-fa8f9edfbcfa","3008473270770036737","Unity SDK v6.0.3","-0700",,,"1",,,,,,,"Level 5-Magnet",,,"Rotating Magnet (2)",,"Magnet",,,,,"Magnet190194",,
"3008469445149532161","bfe8009f-f7dd-4559-9a7c-19ec7a17660e","291f61cd-7caf-4708-ba2f-e9c3308e6b40","2022-06-29","2022-06-29 07:03:28.581","usingTool","0","2022-06-29","UNKNOWN","UNKNOWN","US","None","667","2022-06-29 07:03:28.913","MAC_CLIENT",,"US",,"10408335-a868-4fd0-8402-c275bb60bb1a","3008469445149532161","Unity SDK v6.0.3","-0700",,,"1",,,,,,,"Level 4-Jump",,,"child accerlator 3",,"Accelerator",,,,,"Accelerator183322",,
"3008489922215694341","1c2f00b1-bd70-4526-b987-4f0f64b913dc","4e137229-9e80-445d-acc9-595a32e66a09","2022-06-29","2022-06-29 08:23:36.576","clientDevice","0","2022-06-28","UNKNOWN","UNKNOWN","US","None","6","2022-06-29 08:23:56.484","PC_CLIENT",,"US",,"272d3e46-58b8-4aa0-aba1-2a082b5cbc18","3008489922215694341","Unity SDK v6.0.3","-0700","WINDOWS",,"1","PC","zh","ROG Flow X13 GV301QH_GV301QH (ASUSTeK COMPUTER INC.)","ROG Flow X13 GV301QH_GV301QH (ASUSTeK COMPUTER INC.)","10",,,,,,,,,,,,,,
"3008479275335598081","1c2f00b1-bd70-4526-b987-4f0f64b913dc","b3add2ee-ee75-4779-80ca-a4718b4be2a0","2022-06-29","2022-06-29 07:42:32.967","usingTool","0","2022-06-28","UNKNOWN","UNKNOWN","US","None","3056","2022-06-29 07:42:33.063","PC_CLIENT",,"US",,"c6e30fdf-57d9-4cfa-b69c-3219382d7c14","3008479275335598081","Unity SDK v6.0.3","-0700",,,"1",,,,,,,"Level 2",,,"Magnet (0)",,"Magnet",,,,,"Magnet128532",,
"3008481109613748227","23436812-eaa8-4121-a578-36a221e1f687","485dcdb1-e737-4560-a8d6-f4e069e1bb50","2022-06-29","2022-06-29 07:49:15.252","gameStarted","0","2022-06-28","UNKNOWN","UNKNOWN","US","None",,"2022-06-29 07:49:19.004","PC_CLIENT",,"US",,"c37f5f3f-ac88-40c0-9d93-769d5735fed7","3008481109613748227","Unity SDK v6.0.3","-0700",,"zh_ZZ","1",,,,,,,,,,,,,,,,,,,
"3008469311825195008","bfe8009f-f7dd-4559-9a7c-19ec7a17660e","291f61cd-7caf-4708-ba2f-e9c3308e6b40","2022-06-29","2022-06-29 07:02:56.587","cardChose","0","2022-06-29","UNKNOWN","UNKNOWN","US","None","8416","2022-06-29 07:02:57.026","MAC_CLIENT",,"US",,"b77edd7f-38da-4ba5-8cf9-5b4124116ec6","3008469311825195008","Unity SDK v6.0.3","-0700",,,"1",,,,,,,"Level 4-Jump",,"Slingshot Helper",,,,"2",,,,,,
"3008450135198904322","bfe8009f-f7dd-4559-9a7c-19ec7a17660e","b168b8a5-b10c-49cf-89b0-9d168b84a7c6","2022-06-29","2022-06-29 05:44:54.574","clientDevice","0","2022-06-29","UNKNOWN","UNKNOWN","US","None","7","2022-06-29 05:45:59.21","MAC_CLIENT",,"US",,"82d5ee5a-a01b-4438-bb76-30ffa1855008","3008450135198904322","Unity SDK v6.0.3","-0700","OSX",,"1","PC","en","MacBookPro16,1","MacBookPro16,1","12.4.0",,,,,,,,,,,,,,
